Mnemonic,Name,Old ID,Active,Type,Category,MFLCode
XMATHP,Matlhakola H Post,03-4-10,Y,O,Remote,6675b20178fc5428625b350a
XMOKUHP,Mokungwana Health Post,03-4-12,Y,O,Remote,6675b20178fc5428625b350b
XMOENGHP,Moeng College HP,03-4-06,Y,O,Remote,6675b20178fc5428625b350c
XTOPIHP,Topisi Health Post,03-4-18,Y,O,Remote,6675b20178fc5428625b350d
XMOREOMHP,Moreomabele H Post,03-4-05,Y,O,Remote,6675b20178fc5428625b350e
XMOREMHP,Moremi Health Post,03-4-22,Y,O,Remote,6675b20178fc5428625b350f
XLERAC,Lerala Clinic,03-3-03,Y,O,Remote,6675b20178fc5428625b3510
XMAJWHP,Majwaneng Health Post,03-4-07,Y,O,Remote,6675b20178fc5428625b3511
XRATHHP,Ratholo Health Post,03-4-14,Y,O,Remote,6675b20178fc5428625b3512
XMAOKC,Maokatumo Clinic,03-3-10,Y,O,Remote,6675b20178fc5428625b3513
XTAMAHP,Tamasane Health Post,03-4-16,Y,O,Remote,6675b20178fc5428625b3514
XDILOHP,Diloro Health Post,03-4-29,Y,O,Remote,6675b20178fc5428625b3515
XMOGAHP,Mogapinyana H Post,03-4-,Y,O,Remote,6675b20178fc5428625b3516
XMAUNAHP,Maunatlala Clinic,03-3-04,Y,O,Remote,6675b20178fc5428625b3517
XSEOLWHP,Seolwane Health Post,03-4-15,Y,O,Remote,6675b20178fc5428625b3518
XMOKOKHP,Mokokwana-mosweu H P,03-4-22,Y,O,Remote,6675b20178fc5428625b3519
XMATOLHP,Matolwana Health Post,03-4-,Y,O,Remote,6675b20178fc5428625b351a
XRADIC,Radisele Clinic,03-3-15,Y,O,Remote,6675b20178fc5428625b351b
XMADIHP,Madiaela Health Post,03-4-20,Y,O,Remote,6675b20178fc5428625b351c
XMOGOHP,Mogome Health Post,03-4-23,Y,O,Remote,6675b20178fc5428625b351d
XMOKHP,Mokgware Health Post,03-4-24,Y,O,Remote,6675b20178fc5428625b351e
XSELPGH,Selibe Phikwe Gov Hosp,19-1-02,Y,O,Remote,6675b20178fc5428625b351f
XLEPHP,Lepokole Health Post,04-4-02,Y,O,Remote,6675b20178fc5428625b3520
XMABHP,Mabolwe Health Post,04-4-14,Y,O,Remote,6675b20178fc5428625b3521
XPRISMAC,Mahalapye Prisons Clinic,8-3-3,Y,O,Remote,6675b20178fc5428625b3522
XTSOKOHP,Tsokatshaa Health Post,12-4-12,Y,O,Remote,6675b20178fc5428625b3523
XMANTSHW,Mantshwabisi Health Post 20-,4-,Y,O,Remote,6675b20178fc5428625b3524
XORAPAH,Orapa Mine Hospital,13-1-01,Y,O,Remote,6675b20178fc5428625b3525
XLEPOHP,Leporong H Post,23-4-08,Y,O,Remote,6675b20178fc5428625b3526
XLORWHP,Lorwana H Post,23-3-10,Y,O,Remote,6675b20178fc5428625b3527
XRAILWC,Railway Clinic,08-3-09,Y,O,Remote,6675b20178fc5428625b3528
NYANTNW,NY Antenatal Ward,,Y,I,Local,6675b20178fc5428625b3529
NYFMEDW,NY Female Medical Ward,,Y,I,Local,6675b20178fc5428625b352a
NYFPSYW,NY Female Psychiatric Ward,,Y,I,Local,6675b20178fc5428625b352b
XMATSHC,Matshelagabedi Clinic,02-3-11,Y,O,Remote,6675b20178fc5428625b352c
NYFSURW,NY Female Surgical Ward,,Y,I,Local,6675b20178fc5428625b352d
NYGICUW,NY Intensive Care Unit,,Y,I,Local,6675b20178fc5428625b352e
NYGPSYW,NY Psychiatric Ward Seclusion,,Y,I,Local,6675b20178fc5428625b352f
NYGYNEW,NY Gynaecology Ward,,Y,I,Local,6675b20178fc5428625b3530
NYISOLW,NY Isolation Ward,,Y,I,Local,6675b20178fc5428625b3531
NYLABOW,NY Labour Ward,,Y,I,Local,6675b20178fc5428625b3532
NYMMEDW,NY Male Medical Ward,,Y,I,Local,6675b20178fc5428625b3533
NYMPSYW,NY Male Psychiatric Ward,,Y,I,Local,6675b20178fc5428625b3534
NYMSURW,NY Male Surgical Ward,,Y,I,Local,6675b20178fc5428625b3535
NYPAEMW,NY Paeds Medical Ward,,Y,I,Local,6675b20178fc5428625b3536
NYPAESW,NY Paeds Surgical Ward,,Y,I,Local,6675b20178fc5428625b3537
NYPOSNW,NY Post Natal Ward,,Y,I,Local,6675b20178fc5428625b3538
NYPRIVW,NY Private Ward,,Y,I,Local,6675b20178fc5428625b3539
NYSCBU,NY Special Care Baby Unit,,Y,I,Local,6675b20178fc5428625b353a
NYMORTW,NY Male Orthopaedic Ward,,N,I,Local,6675b20178fc5428625b353b
NYTBW,NY TB Ward,,Y,I,Local,6675b20178fc5428625b353c
XTONOTA,Tonota Clinic,NY,Y,O,Remote,6675b20178fc5428625b353d
XMATHAN,Mathangwane,FR,Y,O,Remote,6675b20178fc5428625b353e
XBOTSHEC,Botshelo Clinic,NY,Y,O,Remote,6675b20178fc5428625b353f
XMARAPO,Marapong,FR,Y,O,Remote,6675b20178fc5428625b3540
XSOWACL,Sowa,FR,Y,O,Remote,6675b20178fc5428625b3541
XMASUNG,Masunga,FR,Y,O,Remote,6675b20178fc5428625b3542
XFBDFCL,BDF Clinic Ftown,NY,Y,O,Remote,6675b20178fc5428625b3543
XBDFFC,BDF Clinic Francistown,16-3-01,Y,O,Remote,6675b20178fc5428625b3544
XBMCCLI,BMC Clinic,FR,Y,O,Remote,6675b20178fc5428625b3545
XPOLANI,Polani,FR,Y,O,Remote,6675b20178fc5428625b3546
XFPRISO,Prisons Clinic,16-3-04,Y,O,Remote,6675b20178fc5428625b3547
XMASUPH,Masunga Primary Hospital,2-2-1,Y,O,Remote,6675b20178fc5428625b3548
XMAKALC,Makaleng Clinic,02-3-01,Y,O,Remote,6675b20178fc5428625b3549
XMAPOKC,Mapoka Clinic,02-3-02,Y,O,Remote,6675b20178fc5428625b354a
XMASUNC,Masunga Clinic,02-3-03,Y,O,Remote,6675b20178fc5428625b354b
XMATSIL,Matsiloje Clinic,02-3-04,Y,O,Remote,6675b20178fc5428625b354c
XTSAMC,Tsamaya Clinic,02-3-05,Y,O,Remote,6675b20178fc5428625b354d
XSELKIC,Selkirk Clinic,02-3-06,Y,O,Remote,6675b20178fc5428625b354e
XSEKAKC,Sekakangwe Clinic,02-3-07,Y,O,Remote,6675b20178fc5428625b354f
XTATSIC,Tati Siding Clinic,02-3-08,Y,O,Remote,6675b20178fc5428625b3550
XTHEMAC,Themashanga Clinic,02-3-09,Y,O,Remote,6675b20178fc5428625b3551
XNLAPHC,Nlaphwane Clinic,02-3-10,Y,O,Remote,6675b20178fc5428625b3552
XRAMAKC,Ramakgwebana Clinic,02-3-12,Y,O,Remote,6675b20178fc5428625b3553
XMOROKC,Moroka Clinic,02-3-13,Y,O,Remote,6675b20178fc5428625b3554
XTSHEC,Tshesebe Clinic,02-3-14,Y,O,Remote,6675b20178fc5428625b3555
XGUNGHP,Gungwe Health Post,02-4-08,Y,O,Remote,6675b20178fc5428625b3556
XBUTALHP,Butale Health Post,02-4-01,Y,O,Remote,6675b20178fc5428625b3557
XGAMHP,Gambule Health Post,02-4-02,Y,O,Remote,6675b20178fc5428625b3558
XJACKAHP,Jackalas I Health Post,02-4-04,Y,O,Remote,6675b20178fc5428625b3559
XJACKHP,Jackalas II H Post,02-4-05,Y,O,Remote,6675b20178fc5428625b355a
XKALAKHP,Kalakamati Health Post,02-4-06,Y,O,Remote,6675b20178fc5428625b355b
XMBALAHP,Mbalambi Health Post,02-4-07,Y,O,Remote,6675b20178fc5428625b355c
XMOSOC,Mosojane Health Post,02-4-09,Y,O,Remote,6675b20178fc5428625b355d
XMATENHP,Matenge Helath Post,02-4-10,Y,O,Remote,6675b20178fc5428625b355e
XSECHEHP,Sechele Health Post,02-4-12,Y,O,Remote,6675b20178fc5428625b355f
XMATOHP,Matopi Health Post,02-4-13,Y,O,Remote,6675b20178fc5428625b3560
XSENYAHP,Senyawe Health Post,02-4-14,Y,O,Remote,6675b20178fc5428625b3561
XSIVIYHP,Siviya Health Post,02-4-15,Y,O,Remote,6675b20178fc5428625b3562
XPOLEHP,Pole Health Post,02-4-16,Y,O,Remote,6675b20178fc5428625b3563
XMASUKHP,Masukwane H Post,02-4-17,Y,O,Remote,6675b20178fc5428625b3564
XMABUDHP,Mabudzani Health Post,02-4-18,Y,O,Remote,6675b20178fc5428625b3565
XZWENSHP,Zwenshambe Health Post,02-4-19,Y,O,Remote,6675b20178fc5428625b3566
XDITLAHP,Ditladi Health Post,02-4-21,Y,O,Remote,6675b20178fc5428625b3567
XLETSHP,Letsholathebe H Post,02-4-23,Y,O,Remote,6675b20178fc5428625b3568
XMASINHP,Masingwaneng H Post,02-4-24,Y,O,Remote,6675b20178fc5428625b3569
XKGARIHP,Kgari Health Post,02-4-25,Y,O,Remote,6675b20178fc5428625b356a
XMULAMHP,Mulambakwena H Post,02-4-26,Y,O,Remote,6675b20178fc5428625b356b
XMAMBOHP,Mambo Health Post,02-4-27,Y,O,Remote,6675b20178fc5428625b356c
XMOWAHP,Mowana Health Post,02-4-28,Y,O,Remote,6675b20178fc5428625b356d
XTONOC,Tonota Clinic,25-3-01,Y,O,Remote,6675b20178fc5428625b356e
XTONOCOLC,Tonota College,25-3-03,Y,O,Remote,6675b20178fc5428625b356f
XBOROLHP,Borolong Helath Post,25-4-06,Y,O,Remote,6675b20178fc5428625b3570
XNATALHP,Natale Health Post,25-4-07,Y,O,Remote,6675b20178fc5428625b3571
XSHASHMHP,Shashe Mooke H Post,25-4-09,Y,O,Remote,6675b20178fc5428625b3572
XPALAPHNY,Palapye Primary Hosp NY,3-2-1,Y,O,Remote,6675b20178fc5428625b3573
XTSHWAR,Tshwaragano Clinic,16-3-03,Y,O,Remote,6675b20178fc5428625b3574
XTATTOW,Tatitown Clinic,16-3-08,Y,O,Remote,6675b20178fc5428625b3575
XBOTSAC,Botsalano Clinic,16-3-05,Y,O,Remote,6675b20178fc5428625b3576
XMASEGO,Masego Clinic,16-3-11,Y,O,Remote,6675b20178fc5428625b3577
XGERALC,Gerald Estate Clinic,FR,Y,O,Remote,6675b20178fc5428625b3578
XBOIKHU,Boikhutso Clinic,16-3-13,Y,O,Remote,6675b20178fc5428625b3579
XBOITC,Boitekanelo Clinic,FR,Y,O,Remote,6675b20178fc5428625b357a
XAERODR,Aerodrome,FR,Y,O,Remote,6675b20178fc5428625b357b
XMANYHP,Manyanda Health Post,25-4-03,Y,O,Remote,6675b20178fc5428625b357c
XNTSHEC,Ntshe Clinic,16-3-16,Y,O,Remote,6675b20178fc5428625b357d
XLAPOLO,Lapologang Clinic,16-3-07,Y,O,Remote,6675b20178fc5428625b357e
XTSHOLO,Tsholofelo,FR,Y,O,Remote,6675b20178fc5428625b357f
XAREASC,Area S Clinic,FR,Y,O,Remote,6675b20178fc5428625b3580
XAREALC,Area L Clinic,FR,Y,O,Remote,6675b20178fc5428625b3581
XBOTUSA,Botusa,FR,Y,O,Remote,6675b20178fc5428625b3582
XFIHS,Francistown IHS,FR,Y,O,Remote,6675b20178fc5428625b3583
XBOBOPH,Bobonong Primary Hospital,4-2,Y,O,Remote,6675b20178fc5428625b3584
NYPOPD,LAB Private Patient OPD,FR,Y,O,Local,6675b20178fc5428625b3585
XTUTUPH,Tutume Primary Hosp,12-2-01,Y,O,Remote,6675b20178fc5428625b3586
XNKANGC,Nkange Clinic,12-3-06,Y,O,Remote,6675b20178fc5428625b3587
XSEBINC,Sebina Clinic,12-3-07,Y,O,Remote,6675b20178fc5428625b3588
XSEPAKHP,Sepako Health post,18-11-2021,Y,O,Remote,6675b20178fc5428625b3589
XMMADPH,Mmadinare Primary Hospital,4-2,Y,O,Remote,6675b20178fc5428625b358a
XMATHAC,Mathathane Clinic,04-3-01,Y,O,Remote,6675b20178fc5428625b358b
XTHIIC,Thini Clinic,12-3-10,Y,O,Remote,6675b20178fc5428625b358c
XSELOHP,Selolwane Health Post,4-12-32,Y,O,Remote,6675b20178fc5428625b358d
XCHANGC,Changate Clinic,12-3-15,Y,O,Remote,6675b20178fc5428625b358e
XLEPASHP,Lepashe Health Post,12-4-05,Y,O,Remote,6675b20178fc5428625b358f
XSENETC,Senete Clinic,12-3-16,Y,O,Remote,6675b20178fc5428625b3590
XSEMOLC,Semolale Clinic,04-3-05,Y,O,Remote,6675b20178fc5428625b3591
XNSWAZC,Nswazwi Clinic,12-3-17,Y,O,Remote,6675b20178fc5428625b3592
XTSETSC,Tsetsejwe Clinic,04-3-06,Y,O,Remote,6675b20178fc5428625b3593
XGOSHWC,Goshwe Health Post,12-4-04,Y,O,Remote,6675b20178fc5428625b3594
XSEMIHP,Semitwe Health Post,12-4-28,Y,O,Remote,6675b20178fc5428625b3595
XMATOBHP,Matobo Health Post,12-4-09,Y,O,Remote,6675b20178fc5428625b3596
XMANGAC,Manga Clinic,04-3-07,Y,O,Remote,6675b20178fc5428625b3597
XMATSIHP,Matsitama Health Post,12-4-10,Y,O,Remote,6675b20178fc5428625b3598
XBOROTC,Borotsi Clinic,04-3-08,Y,O,Remote,6675b20178fc5428625b3599
XDAGWHP,Dagwi Health Post,12-4-02,Y,O,Remote,6675b20178fc5428625b359a
XMABELHP,Mabeleng Health Post,04-4-01,Y,O,Remote,6675b20178fc5428625b359b
XMAGAPHP,Magapatona H Post,12-4-24,Y,O,Remote,6675b20178fc5428625b359c
XKUTAMHP,Kutamogore Health Post,12-4-27,Y,O,Remote,6675b20178fc5428625b359d
XMMADUHP,Mmadunyane Health Post,25-4-02,Y,O,Remote,6675b20178fc5428625b359e
XGOBOHP,Gobojango Health Post,04-4-04,Y,O,Remote,6675b20178fc5428625b359f
XSHASSTHP,Shashe Station H Post,25-4-01,Y,O,Remote,6675b20178fc5428625b35a0
XLENTSWHP,Lentswelemoriti H Post,04-4-05,Y,O,Remote,6675b20178fc5428625b35a1
XMADISHP,Madisakwane H Post,25-4-04,Y,O,Remote,6675b20178fc5428625b35a2
XROBELHP,Robelela Health Post,04-4-06,Y,O,Remote,6675b20178fc5428625b35a3
XMAKOBHP,Makobo Health Post,25-4-08,Y,O,Remote,6675b20178fc5428625b35a4
XMOREOHP,Moremabele H Post,25-4-10,Y,O,Remote,6675b20178fc5428625b35a5
XDAMUHP,Damuchujenaa Health Post,4-4-8,Y,O,Remote,6675b20178fc5428625b35a6
XMOLAHP,Molalatau Health Post,04-4-09,Y,O,Remote,6675b20178fc5428625b35a7
XMOLEHP,Moletemane Health Post,04-4-10,Y,O,Remote,6675b20178fc5428625b35a8
XMOTLHP,Motlhabaneng H Post,4-4-13,Y,O,Remote,6675b20178fc5428625b35a9
XMOBOLHP,Mobolwe Health Post,04-4-14,Y,O,Remote,6675b20178fc5428625b35aa
XGWETPH,Gweta Primary Hospital,12-2-02,Y,O,Remote,6675b20178fc5428625b35ab
XGWETAC,Gweta Clinic,12-3-02,Y,O,Remote,6675b20178fc5428625b35ac
XMAPOSHP,Maposa Health post,18-11-2021,Y,O,Remote,6675b20178fc5428625b35ad
XMAITEC,Maitengwe Clinic,12-3-03,Y,O,Remote,6675b20178fc5428625b35ae
XZOROHP,Zoroga Health Post,12-4-03,Y,O,Remote,6675b20178fc5428625b35af
XGULUBHP,Gulubane Health Post,02-4-03,Y,O,Remote,6675b20178fc5428625b35b0
XTOBANEHP,Tobane Health Post,04-4-12,Y,O,Remote,6675b20178fc5428625b35b1
XTSHOHP,Tshokwe Health Post,04-4-11,Y,O,Remote,6675b20178fc5428625b35b2
XSEFHOC,Sefhophe Clinic,04-3-02,Y,O,Remote,6675b20178fc5428625b35b3
XBOTSHC,Botshabelo Clinic,19-3-06,Y,O,Remote,6675b20178fc5428625b35b4
XSESAMC,Sesame Clinic,19-3-08,Y,O,Remote,6675b20178fc5428625b35b5
XMANXHP,Manxoxae Health Post,18-11-202,Y,O,Remote,6675b20178fc5428625b35b6
XSOUTC,South East Ext Clinic,19-3-10,Y,O,Remote,6675b20178fc5428625b35b7
XINDUSC,Industrial Clinic,19-3-11,Y,O,Remote,6675b20178fc5428625b35b8
XTAPOLC,Tapologong Clinic,19-3-12,Y,O,Remote,6675b20178fc5428625b35b9
XMOGHP,Mogapi Health Post,03-4-32,Y,O,Remote,6675b20178fc5428625b35ba
XSERUC,Serule Clinic,25-3-02,Y,O,Remote,6675b20178fc5428625b35bb
XGOJWHP,Gojwane Health Post,03-4-30,Y,O,Remote,6675b20178fc5428625b35bc
XBDFSPC,BDF Selebi Phikwe,04-2-02,Y,O,Remote,6675b20178fc5428625b35bd
XBAINDPHP,Baines Drift Prisons HP,04-4-3,Y,O,Remote,6675b20178fc5428625b35be
XSELPPCL,Selibi Phikwe Prisons C,04-3-4,Y,O,Remote,6675b20178fc5428625b35bf
XKASAH,Kasane Primary Hospital,10-2-1,Y,O,Remote,6675b20178fc5428625b35c0
XKACHIC,Kachikau Clinic,10-3-01,Y,O,Remote,6675b20178fc5428625b35c1
XPANDAMC,Pandamatenga Clinic,10-3-02,Y,O,Remote,6675b20178fc5428625b35c2
XPANDAC,Pandamatenga BDF Cl,10-3-03,Y,O,Remote,6675b20178fc5428625b35c3
XLESOMHP,Leesoma Health Post,10-4-02,Y,O,Remote,6675b20178fc5428625b35c4
XKAVIMHP,Kavimba Health Post,10-4-03,Y,O,Remote,6675b20178fc5428625b35c5
XMABALHP,Mabale Health Post,10-4-04,Y,O,Remote,6675b20178fc5428625b35c6
XKAZUNHP,Kazungula Health Post,10-4-05,Y,O,Remote,6675b20178fc5428625b35c7
XKWANBDFHP,Kwando BDF H Post,10-6-06,Y,O,Remote,6675b20178fc5428625b35c8
XSATAUHP,Satau Health Post,10-4-07,Y,O,Remote,6675b20178fc5428625b35c9
XPARAKHP,Parakarangu H Post,10-4-08,Y,O,Remote,6675b20178fc5428625b35ca
XKASHP,Kasane Health Post,10-4-09,Y,O,Remote,6675b20178fc5428625b35cb
XKAZBDFHP,Kazungula BDF H Post,10-4-10,Y,O,Remote,6675b20178fc5428625b35cc
XPLATHP,Plateau Health Post,10-4-11,Y,O,Remote,6675b20178fc5428625b35cd
XLENYBDFHP,Lenyanti BDF H Post,10-4-12,Y,O,Remote,6675b20178fc5428625b35ce
XFGENLOC,Francistown General Loc,FR,N,O,Remote,6675b20178fc5428625b35cf
XROYALC,RCPARoyal College of Australia,,Y,O,Remote,6675b20178fc5428625b35d0
MAFGENW,MA Female General Ward,,N,I,Local,6675b20178fc5428625b35d1
MAGMEDW,MA General Medical Ward,,N,I,Local,6675b20178fc5428625b35d2
MAGPAEW,MA Paediatrics Ward,,N,I,Local,6675b20178fc5428625b35d3
MAGPSYW,MA Psychiatric Ward,,N,I,Local,6675b20178fc5428625b35d4
MAMATEW,MA Maternity Ward,,N,I,Local,6675b20178fc5428625b35d5
MAMGENW,MA Male General Ward,,N,I,Local,6675b20178fc5428625b35d6
XTHITOC,Thito,MA,Y,O,Remote,6675b20178fc5428625b35d7
XSHASHP,Shashe Health Post,01-4-19,Y,O,Remote,6675b20178fc5428625b35d8
XSHASHHP,Shashe Health Post,01-4-19,N,O,Remote,6675b20178fc5428625b35d9
XMOTLOP,Motlopi,MA,Y,O,Remote,6675b20178fc5428625b35da
XMAUNH,Letsholathebe II Memorial,01-1,Y,O,Remote,6675b20178fc5428625b35db
XDELTMC,Delta Medical Centre,01-1-02,Y,O,Remote,6675b20178fc5428625b35dc
XMPRISO,Maun Prison Clinic,01-3-02,Y,O,Remote,6675b20178fc5428625b35dd
XMAUSSC,Maun Sec School Clinic,01-3-03,Y,O,Remote,6675b20178fc5428625b35de
XMAUNC,Maun Clinic,01-3-04,Y,O,Remote,6675b20178fc5428625b35df
XSEHITL,Sehitlhwa Clinic,01-3-05,Y,O,Remote,6675b20178fc5428625b35e0
XMBDFCL,Maun BDF Clinic,01-3-06,Y,O,Remote,6675b20178fc5428625b35e1
XSHOROC,Shorobe Clinic,01-3-07,Y,O,Remote,6675b20178fc5428625b35e2
XBOYEIC,Boyei Clinic,01-3-08,Y,O,Remote,6675b20178fc5428625b35e3
XMAKALA,Makalamabedi Clinic,01-3-09,Y,O,Remote,6675b20178fc5428625b35e4
XBOSEJC,Boseja Clinic Maun,01-3-10,Y,O,Remote,6675b20178fc5428625b35e5
XTSAUCL,Tsau Clinic,01-3-11,Y,O,Remote,6675b20178fc5428625b35e6
XSEDIEC,Sedie Clinic,01-3-12,Y,O,Remote,6675b20178fc5428625b35e7
XBOTHHP,Bothatogo Health Post,01-4-01,Y,O,Remote,6675b20178fc5428625b35e8
XBODIBE,Bodibeng Health Post,01-4-02,Y,O,Remote,6675b20178fc5428625b35e9
XCHANOG,Chanoga Health Post,01-4-03,Y,O,Remote,6675b20178fc5428625b35ea
XKUBUNG,Kubung Health Post,01-4-04,Y,O,Remote,6675b20178fc5428625b35eb
XMABABE,Mababe Health Post,01-4-05,Y,O,Remote,6675b20178fc5428625b35ec
XSEMBOY,Semboyo Health Post,01-4-06,Y,O,Remote,6675b20178fc5428625b35ed
XKARENG,Kareng Health Post,01-4-07,Y,O,Remote,6675b20178fc5428625b35ee
XTOTENG,Toteng Health Post,01-4-08,Y,O,Remote,6675b20178fc5428625b35ef
XKOMAHP,Komana Health Post,01-4-09,Y,O,Remote,6675b20178fc5428625b35f0
XMAKAKU,Makakung Health Post,01-4-10,Y,O,Remote,6675b20178fc5428625b35f1
XMATLAP,Matlapana Health Post,01-4-11,Y,O,Remote,6675b20178fc5428625b35f2
XPHUDUH,Phuduhudu Health Post,01-4-12,Y,O,Remote,6675b20178fc5428625b35f3
XSANKOY,Sankoyo Health Post,01-4-13,Y,O,Remote,6675b20178fc5428625b35f4
XBOSEJAKHP,Boseja Kubung H Post,01-4-14,Y,O,Remote,6675b20178fc5428625b35f5
XSOMELO,Somelo Health Post,01-4-15,Y,O,Remote,6675b20178fc5428625b35f6
XTHITOHP,Thitoyamokodi H	Post,01-4-16,Y,O,Remote,6675b20178fc5428625b35f7
XBOROHP,Boro Prison H Post,01-4-17,Y,O,Remote,6675b20178fc5428625b35f8
XDISANHP,Disana Health Post,01-4-18,Y,O,Remote,6675b20178fc5428625b35f9
XKHWAIC,Khwai,MA,Y,O,Remote,6675b20178fc5428625b35fa
XMOREOM,Moreomaoto,MA,Y,O,Remote,6675b20178fc5428625b35fb
XBOFWAC,Bofwa,MA,Y,O,Remote,6675b20178fc5428625b35fc
XMAUNCC,Maun Counselling Centre,MA,Y,O,Remote,6675b20178fc5428625b35fd
XMAPOPD,LAB Private Patient OPD,MA,Y,O,Remote,6675b20178fc5428625b35fe
XSHASHE,Shashe,MA,N,O,Remote,6675b20178fc5428625b35ff
XCOVEMC,Covenant Medical Centre,MA,Y,O,Remote,6675b20178fc5428625b3600
XGLOMIS,Global Mission,MA,Y,O,Remote,6675b20178fc5428625b3601
XMAUSUR,Maun Surgery,MA,Y,O,Remote,6675b20178fc5428625b3602
XOFAMIC,Okavango Fam Informatory Cl MA,,Y,O,Remote,6675b20178fc5428625b3603
XDAVECL,Davenine Clinic,MA,Y,O,Remote,6675b20178fc5428625b3604
SEFGENW,SE Female General Ward,,N,I,Local,6675b20178fc5428625b3605
SEFMEDW,SE Female Medical Ward,,Y,I,Local,6675b20178fc5428625b3606
SEGTBW,SE General TB Ward,,N,I,Local,6675b20178fc5428625b3607
SEMATEW,SE Maternity Ward,,N,I,Local,6675b20178fc5428625b3608
SESCBU,SE Special Care Baby Unit,,Y,I,Local,6675b20178fc5428625b3609
SEMGENW,SE Male General Ward,,N,I,Local,6675b20178fc5428625b360a
SEMMEDW,SE Male Medical Ward,,Y,I,Local,6675b20178fc5428625b360b
SEPAEW,SE Paediatric Ward,,N,I,Local,6675b20178fc5428625b360c
SEPSYW,SE Psychiatric Ward,,N,I,Local,6675b20178fc5428625b360d
XSEPOPD,LAB Private Patient OPD,SE,Y,O,Remote,6675b20178fc5428625b360e
XMMASHO,Mmashoro Clinic,03-03-05,Y,O,Remote,6675b20178fc5428625b360f
XMABUHP,Mabuo Health Post,,Y,O,Remote,6675b20178fc5428625b3610
XKADIMC,Kadimo Samson Clinic,03-3-01,Y,O,Remote,6675b20178fc5428625b3611
XSEROWC,Serowe Clinic,03-3-02,Y,O,Remote,6675b20178fc5428625b3612
XMAUCL,Maunatlala Clinic,,Y,O,Remote,6675b20178fc5428625b3613
XMMASHC,Mmashoro Clinic,03-3-05,Y,O,Remote,6675b20178fc5428625b3614
XNEWTOC,New Town Clinic,03-3-07,Y,O,Remote,6675b20178fc5428625b3615
XNUTRC,Nutrition Clinic,03-3-08,Y,O,Remote,6675b20178fc5428625b3616
XBOIPC,Boipelego Clinic,03-3-,Y,O,Remote,6675b20178fc5428625b3617
XRUSSEC,Russel May Clinic,03-3-09,Y,O,Remote,6675b20178fc5428625b3618
XMODIKHP,Modikwane H Post,03-4-02,Y,O,Remote,6675b20178fc5428625b3619
XMOGORHP,Mogorosi Health Post,03-4-11,Y,O,Remote,6675b20178fc5428625b361a
XMADIAHP,Madiaele Health Post,03-4-20,Y,O,Remote,6675b20178fc5428625b361b
XMAMAHP,Malatswai Health Post,03-4-31,N,O,Remote,6675b20178fc5428625b361c
XMABELE,Mabeleapudi,29-3-08,Y,O,Remote,6675b20178fc5428625b361d
XKEDICL,Kediretswe Clinic,NY,Y,O,Remote,6675b20178fc5428625b361e
XTSHIMO,Tshimoyapula,SE,Y,O,Remote,6675b20178fc5428625b361f
XTSHIHP,Tshimoyapula Health Post,3-4-,Y,O,Remote,6675b20178fc5428625b3620
XPAJCLI,Paje Clinic,SE,Y,O,Remote,6675b20178fc5428625b3621
XPAJBDF,Paje BDF Clinic,SE,Y,O,Remote,6675b20178fc5428625b3622
XMALAT,Malatswai,SE,Y,O,Remote,6675b20178fc5428625b3623
XMOIYAB,Moiyabana,SE,Y,O,Remote,6675b20178fc5428625b3624
XMOIYAC,Moiyabana Clinic,03-3-11,Y,O,Remote,6675b20178fc5428625b3625
XTHABAL,Thabala,SE,Y,O,Remote,6675b20178fc5428625b3626
XTHABAC,Thabala Clinic,03-3-20,Y,O,Remote,6675b20178fc5428625b3627
XRUSMAY,Russel May Clinic,SE,Y,O,Remote,6675b20178fc5428625b3628
XDIMAJW,Dimajwe,SE,Y,O,Remote,6675b20178fc5428625b3629
XMAJWAN,Majwanadipitse,03-3,Y,O,Remote,6675b20178fc5428625b362a
XKHURU,Khurumela,SE,N,O,Remote,6675b20178fc5428625b362b
XSPRISO,Prison,SE,Y,O,Remote,6675b20178fc5428625b362c
XLUSAN,Lusane,SE,Y,O,Remote,6675b20178fc5428625b362d
XJUMEDC,Juliana Medical Clinic,SE,Y,O,Remote,6675b20178fc5428625b362e
XMAUKAC,Maokatumo Clinic,03-3-10,Y,O,Remote,6675b20178fc5428625b362f
XMABEC,Mabeleapudi Clinic,03-3-17,Y,O,Remote,6675b20178fc5428625b3630
XMAHALH,Mahalapye Hospital,08-1-01,Y,O,Remote,6675b20178fc5428625b3631
XXHOSAC,Xhosa Clinic,08-3-01,Y,O,Remote,6675b20178fc5428625b3632
XMAHPRIC,Mahalapye Prisons Cl,08-3-03,Y,O,Remote,6675b20178fc5428625b3633
XMOOKAC,Mookane Clinic,08-3-04,Y,O,Remote,6675b20178fc5428625b3634
XKALAMC,Kalamare Clinic,08-3-07,Y,O,Remote,6675b20178fc5428625b3635
XSHOSHC,Shoshong Clinic,08-3-08,Y,O,Remote,6675b20178fc5428625b3636
XAIRSTC,Airstrip Clinic,08-3-10,Y,O,Remote,6675b20178fc5428625b3637
XBAITIC,Baitiredi Clinic,08-3-11,Y,O,Remote,6675b20178fc5428625b3638
XPRISMACC,Machaneng Prison Clinic,8-3-13,Y,O,Remote,6675b20178fc5428625b3639
XSHELEC,Sheleketla Clinic,08-3-14,Y,O,Remote,6675b20178fc5428625b363a
