Mnemonic,Name,Old ID,Active,Type,Category
XGOSHWC,Goshwe Health Post,12-4-04,Y,O,Remote
XSEMIHP,Semitwe Health Post,12-4-28,Y,O,Remote
XMATOBHP,Matobo Health Post,12-4-09,Y,O,Remote
XMANGAC,Manga Clinic,04-3-07,Y,O,Remote
XMATSIHP,Matsitama Health Post,12-4-10,Y,O,Remote
XBOROTC,Borotsi Clinic,04-3-08,Y,O,Remote
XDAGWHP,Dagwi Health Post,12-4-02,Y,O,Remote
XMABELHP,Mabeleng Health Post,04-4-01,Y,O,Remote
XMAGAPHP,Magapatona H Post,12-4-24,Y,O,Remote
XKUTAMHP,Kutamogore Health Post,12-4-27,Y,O,Remote
XMMADUHP,Mmadunyane Health Post,25-4-02,Y,O,Remote
XGOBOHP,Gobojango Health Post,04-4-04,Y,O,Remote
XSHASSTHP,Shashe Station H Post,25-4-01,Y,O,Remote
XLENTSWHP,Lentswelemoriti H Post,04-4-05,Y,O,Remote
XMADISHP,Madisakwane H Post,25-4-04,Y,O,Remote
XROBELHP,Robelela Health Post,04-4-06,Y,O,Remote
XMAKOBHP,Makobo Health Post,25-4-08,Y,O,Remote
XMOREOHP,Moremabele H Post,25-4-10,Y,O,Remote
XDAMUHP,Damuchujenaa Health Post,4-4-8,Y,O,Remote
XMOLAHP,Molalatau Health Post,04-4-09,Y,O,Remote
XMOLEHP,Moletemane Health Post,04-4-10,Y,O,Remote
XMOTLHP,Motlhabaneng H Post,4-4-13,Y,O,Remote
XMOBOLHP,Mobolwe Health Post,04-4-14,Y,O,Remote
XGWETPH,Gweta Primary Hospital,12-2-02,Y,O,Remote
XGWETAC,Gweta Clinic,12-3-02,Y,O,Remote
XMAPOSHP,Maposa Health post,18-11-2021,Y,O,Remote
XMAITEC,Maitengwe Clinic,12-3-03,Y,O,Remote
XZOROHP,Zoroga Health Post,12-4-03,Y,O,Remote
XGULUBHP,Gulubane Health Post,02-4-03,Y,O,Remote
XTOBANEHP,Tobane Health Post,04-4-12,Y,O,Remote
XTSHOHP,Tshokwe Health Post,04-4-11,Y,O,Remote
XSEFHOC,Sefhophe Clinic,04-3-02,Y,O,Remote
XBOTSHC,Botshabelo Clinic,19-3-06,Y,O,Remote
XSESAMC,Sesame Clinic,19-3-08,Y,O,Remote
XMANXHP,Manxoxae Health Post,18-11-202,Y,O,Remote
XSOUTC,South East Ext Clinic,19-3-10,Y,O,Remote
XINDUSC,Industrial Clinic,19-3-11,Y,O,Remote
XTAPOLC,Tapologong Clinic,19-3-12,Y,O,Remote
XMOGHP,Mogapi Health Post,03-4-32,Y,O,Remote
XSERUC,Serule Clinic,25-3-02,Y,O,Remote
XGOJWHP,Gojwane Health Post,03-4-30,Y,O,Remote
XBDFSPC,BDF Selebi Phikwe,04-2-02,Y,O,Remote
XBAINDPHP,Baines Drift Prisons HP,04-4-3,Y,O,Remote
XSELPPCL,Selibi Phikwe Prisons C,04-3-4,Y,O,Remote
XKASAH,Kasane Primary Hospital,10-2-1,Y,O,Remote
XKACHIC,Kachikau Clinic,10-3-01,Y,O,Remote
XPANDAMC,Pandamatenga Clinic,10-3-02,Y,O,Remote
XPANDAC,Pandamatenga BDF Cl,10-3-03,Y,O,Remote
XLESOMHP,Leesoma Health Post,10-4-02,Y,O,Remote
XKAVIMHP,Kavimba Health Post,10-4-03,Y,O,Remote
XMABALHP,Mabale Health Post,10-4-04,Y,O,Remote
XKAZUNHP,Kazungula Health Post,10-4-05,Y,O,Remote
XKWANBDFHP,Kwando BDF H Post,10-6-06,Y,O,Remote
XSATAUHP,Satau Health Post,10-4-07,Y,O,Remote
XPARAKHP,Parakarangu H Post,10-4-08,Y,O,Remote
XKASHP,Kasane Health Post,10-4-09,Y,O,Remote
XKAZBDFHP,Kazungula BDF H Post,10-4-10,Y,O,Remote
XPLATHP,Plateau Health Post,10-4-11,Y,O,Remote
XLENYBDFHP,Lenyanti BDF H Post,10-4-12,Y,O,Remote
XFGENLOC,Francistown General Loc,FR,N,O,Remote
XROYALC,RCPARoyal College of Australia,,Y,O,Remote
MAFGENW,MA Female General Ward,,N,I,Local
MAGMEDW,MA General Medical Ward,,N,I,Local
MAGPAEW,MA Paediatrics Ward,,N,I,Local
MAGPSYW,MA Psychiatric Ward,,N,I,Local
MAMATEW,MA Maternity Ward,,N,I,Local
MAMGENW,MA Male General Ward,,N,I,Local
XTHITOC,Thito,MA,Y,O,Remote
XSHASHP,Shashe Health Post,01-4-19,Y,O,Remote
XSHASHHP,Shashe Health Post,01-4-19,N,O,Remote
XMOTLOP,Motlopi,MA,Y,O,Remote
XMAUNH,Letsholathebe II Memorial,01-1,Y,O,Remote
XDELTMC,Delta Medical Centre,01-1-02,Y,O,Remote
XMPRISO,Maun Prison Clinic,01-3-02,Y,O,Remote
XMAUSSC,Maun Sec School Clinic,01-3-03,Y,O,Remote
XMAUNC,Maun Clinic,01-3-04,Y,O,Remote
XSEHITL,Sehitlhwa Clinic,01-3-05,Y,O,Remote
XMBDFCL,Maun BDF Clinic,01-3-06,Y,O,Remote
XSHOROC,Shorobe Clinic,01-3-07,Y,O,Remote
XBOYEIC,Boyei Clinic,01-3-08,Y,O,Remote
XMAKALA,Makalamabedi Clinic,01-3-09,Y,O,Remote
XBOSEJC,Boseja Clinic Maun,01-3-10,Y,O,Remote
XTSAUCL,Tsau Clinic,01-3-11,Y,O,Remote
XSEDIEC,Sedie Clinic,01-3-12,Y,O,Remote
XBOTHHP,Bothatogo Health Post,01-4-01,Y,O,Remote
XBODIBE,Bodibeng Health Post,01-4-02,Y,O,Remote
XCHANOG,Chanoga Health Post,01-4-03,Y,O,Remote
XKUBUNG,Kubung Health Post,01-4-04,Y,O,Remote
XMABABE,Mababe Health Post,01-4-05,Y,O,Remote
XSEMBOY,Semboyo Health Post,01-4-06,Y,O,Remote
XKARENG,Kareng Health Post,01-4-07,Y,O,Remote
XTOTENG,Toteng Health Post,01-4-08,Y,O,Remote
XKOMAHP,Komana Health Post,01-4-09,Y,O,Remote
XMAKAKU,Makakung Health Post,01-4-10,Y,O,Remote
XMATLAP,Matlapana Health Post,01-4-11,Y,O,Remote
XPHUDUH,Phuduhudu Health Post,01-4-12,Y,O,Remote
XSANKOY,Sankoyo Health Post,01-4-13,Y,O,Remote
XBOSEJAKHP,Boseja Kubung H Post,01-4-14,Y,O,Remote
XSOMELO,Somelo Health Post,01-4-15,Y,O,Remote
XTHITOHP,Thitoyamokodi H	Post,01-4-16,Y,O,Remote
XBOROHP,Boro Prison H Post,01-4-17,Y,O,Remote
XDISANHP,Disana Health Post,01-4-18,Y,O,Remote
XKHWAIC,Khwai,MA,Y,O,Remote
XMOREOM,Moreomaoto,MA,Y,O,Remote
XBOFWAC,Bofwa,MA,Y,O,Remote
XMAUNCC,Maun Counselling Centre,MA,Y,O,Remote
XMAPOPD,LAB Private Patient OPD,MA,Y,O,Remote
XSHASHE,Shashe,MA,N,O,Remote
XCOVEMC,Covenant Medical Centre,MA,Y,O,Remote
XGLOMIS,Global Mission,MA,Y,O,Remote
XMAUSUR,Maun Surgery,MA,Y,O,Remote
XOFAMIC,Okavango Fam Informatory Cl MA,,Y,O,Remote
XDAVECL,Davenine Clinic,MA,Y,O,Remote
SEFGENW,SE Female General Ward,,N,I,Local
SEFMEDW,SE Female Medical Ward,,Y,I,Local
SEGTBW,SE General TB Ward,,N,I,Local
SEMATEW,SE Maternity Ward,,N,I,Local
SESCBU,SE Special Care Baby Unit,,Y,I,Local
SEMGENW,SE Male General Ward,,N,I,Local
SEMMEDW,SE Male Medical Ward,,Y,I,Local
SEPAEW,SE Paediatric Ward,,N,I,Local
SEPSYW,SE Psychiatric Ward,,N,I,Local
XSEPOPD,LAB Private Patient OPD,SE,Y,O,Remote
XMMASHO,Mmashoro Clinic,03-03-05,Y,O,Remote
XMABUHP,Mabuo Health Post,,Y,O,Remote
XKADIMC,Kadimo Samson Clinic,03-3-01,Y,O,Remote
XSEROWC,Serowe Clinic,03-3-02,Y,O,Remote
XMAUCL,Maunatlala Clinic,,Y,O,Remote
XMMASHC,Mmashoro Clinic,03-3-05,Y,O,Remote
XNEWTOC,New Town Clinic,03-3-07,Y,O,Remote
XNUTRC,Nutrition Clinic,03-3-08,Y,O,Remote
XBOIPC,Boipelego Clinic,03-3-,Y,O,Remote
XRUSSEC,Russel May Clinic,03-3-09,Y,O,Remote
XMODIKHP,Modikwane H Post,03-4-02,Y,O,Remote
XMOGORHP,Mogorosi Health Post,03-4-11,Y,O,Remote
XMADIAHP,Madiaele Health Post,03-4-20,Y,O,Remote
XMAMAHP,Malatswai Health Post,03-4-31,N,O,Remote
XMABELE,Mabeleapudi,29-3-08,Y,O,Remote
XKEDICL,Kediretswe Clinic,NY,Y,O,Remote
XTSHIMO,Tshimoyapula,SE,Y,O,Remote
XTSHIHP,Tshimoyapula Health Post,3-4-,Y,O,Remote
XPAJCLI,Paje Clinic,SE,Y,O,Remote
XPAJBDF,Paje BDF Clinic,SE,Y,O,Remote
XMALAT,Malatswai,SE,Y,O,Remote
XMOIYAB,Moiyabana,SE,Y,O,Remote
XMOIYAC,Moiyabana Clinic,03-3-11,Y,O,Remote
XTHABAL,Thabala,SE,Y,O,Remote
XTHABAC,Thabala Clinic,03-3-20,Y,O,Remote
XRUSMAY,Russel May Clinic,SE,Y,O,Remote
XDIMAJW,Dimajwe,SE,Y,O,Remote
XMAJWAN,Majwanadipitse,03-3,Y,O,Remote
XKHURU,Khurumela,SE,N,O,Remote
XSPRISO,Prison,SE,Y,O,Remote
XLUSAN,Lusane,SE,Y,O,Remote
XJUMEDC,Juliana Medical Clinic,SE,Y,O,Remote
XMAUKAC,Maokatumo Clinic,03-3-10,Y,O,Remote
XMABEC,Mabeleapudi Clinic,03-3-17,Y,O,Remote
XMAHALH,Mahalapye Hospital,08-1-01,Y,O,Remote
XXHOSAC,Xhosa Clinic,08-3-01,Y,O,Remote
XMAHPRIC,Mahalapye Prisons Cl,08-3-03,Y,O,Remote
XMOOKAC,Mookane Clinic,08-3-04,Y,O,Remote
XKALAMC,Kalamare Clinic,08-3-07,Y,O,Remote
XSHOSHC,Shoshong Clinic,08-3-08,Y,O,Remote
XAIRSTC,Airstrip Clinic,08-3-10,Y,O,Remote
XBAITIC,Baitiredi Clinic,08-3-11,Y,O,Remote
XPRISMACC,Machaneng Prison Clinic,8-3-13,Y,O,Remote
XSHELEC,Sheleketla Clinic,08-3-14,Y,O,Remote
XTEWANHP,Tewane Health Post,08-4-01,Y,O,Remote
XBONWHP,Bonwapitse Health Post,08-4-02,Y,O,Remote
XMORALHP,Moralane H Post,08-4-03,Y,O,Remote
XDIBETHP,Dibete Health Post,08-4-04,Y,O,Remote
XDOVEDHP,Dovedale Health Post,08-4-05,Y,O,Remote
XMOWANHP,Mowana Health Post,08-4-06,Y,O,Remote
XIKONGHP,Ikongwe Health Post,08-4-07,Y,O,Remote
XMOKGEHP,Mokgenene Health Post,08-4-08,Y,O,Remote
XKODIHP,Kodibeleng Health Post,08-4-09,Y,O,Remote
XKUDUMHP,Kudumatse Health Post,08-4-10,Y,O,Remote
XBDFMALHP,BDF Mahalapye H Post,08-4-11,Y,O,Remote
XLEETHP,Leetile Health Post,08-4-12,Y,O,Remote
XMAKWHP,Makwate Health Post,08-4-14,Y,O,Remote
XMADIBHP,Madiba Health Post,08-4-15,Y,O,Remote
XMMAPHHP,Mmaphashalala HP,08-4-16,Y,O,Remote
XMMUTHP,Mmutlane Health Post,08-4-17,Y,O,Remote
XMHALHP,Mhalapitsa Health Post,08-4-18,Y,O,Remote
XMOKOSWHP,Mokoswane H Post,08-4-19,Y,O,Remote
XMOKOBHP,Mokobeng Health Post,08-4-20,Y,O,Remote
XMOSHHP,Moshopha Health Post,08-4-21,Y,O,Remote
XMOSOLHP,Mosolotshane H Post,08-4-22,Y,O,Remote
XNGWAHP,Ngwapa Health Post,08-4-23,Y,O,Remote
XPALLAHP,Palla Road Health Post,08-4-24,Y,O,Remote
XPOLOHP,Poloka Health Post,08-4-25,Y,O,Remote
XOTSEHP,Otse Health Post,08-4-26,Y,O,Remote
XSHAKHP,Shakwe Health Post,08-4-28,Y,O,Remote
XTAUPHP,Taupye Health Post,08-4-29,Y,O,Remote
XSEFHPH,Sefhare Primary Hospital,8-2-1,Y,O,Remote
XMACHAC,Machaneng Clinic,08-3-02,Y,O,Remote
XPILIKC,Pilikwe Clinic,08-3-05,Y,O,Remote
XRAMOKC,Ramokgonami Clinic,08-3-06,Y,O,Remote
XSELEC,Seleka Clinic,08-3-12,Y,O,Remote
XCHADIC,Chadibe Clinic,08-3-15,Y,O,Remote
XTEWCL,Tewane Health Post,08-4-01,N,O,Remote
XMAAPEHP,Maape Health Post,08-4-13,Y,O,Remote
XLETORHP,Letoreng Health Post,,Y,O,Remote
XMATLHP,Matlhako Health Post,08-4-27,Y,O,Remote
XGANPH,Gantsi Primary Hospital,07-2-1,Y,O,Remote
XCHARLC,Charleshill Clinic,07-3-01,Y,O,Remote
XMORAMC,Morama Clinic,07-03-06,Y,O,Remote
XKALKFC,Kalkfontein Clinic,07-3-02,Y,O,Remote
XTSOOTC,Tsootsha Clinic,07-3-02,N,O,Remote
XNCOJAC,Ncojane Clinic,07-3-03,Y,O,Remote
XCHARLCPM,Charleshill Clinic,,Y,O,Remote
XGANTC,Gantsi Clinic,07-3-04,Y,O,Remote
XNOJAC,Nojane Clinic,07-3-03,Y,O,Remote
XNEWXAC,New Xade Clinic,07-3-04,Y,O,Remote
XBEREHP,Bere Health Post,07-4-01,Y,O,Remote
XKACGAHP,Kacgae Health Post,07-4-03,Y,O,Remote
XKARAKHP,Karakubis Health Post,07-4-04,Y,O,Remote
XKUKEHP,Kuke Heath Post,07-4-05,Y,O,Remote
XKOLEHP,Kole Health Post,07-4-06,Y,O,Remote
XMAKUNHP,Makunda Health Post,07-4-07,Y,O,Remote
XWESTHHP,West Hanahai Health Post,7-4-8,Y,O,Remote
XEASTHHP,East Hanahai Health Post,7-4-9,Y,O,Remote
XXANAGHP,Xanagas Health Post,07-4-10,Y,O,Remote
XMETSIMAHP,Metsimantso H Post,07-4-12,Y,O,Remote
XGROOTHP,Grootlaagte Health Post,7-4-13,Y,O,Remote
XCHOBHP,Chobokwane Health Post,07-4-14,Y,O,Remote
XQABOHP,Qabo Health Post,07-4-15,Y,O,Remote
XXADEHP,Xade Health Post,07-4-16,Y,O,Remote
XSHAAHP,SHAA Health Post,07-4-17,Y,O,Remote
XPRISHP,Prison Health Post,07-4-18,Y,O,Remote
XSCOTIC,Scottish Livingstone Hosp,5-1,Y,O,Remote
XGUDHP,Gudigwa Health Post,14-4-19,N,O,Remote
XSERIHP,Serinane Health Post,,Y,O,Remote
XBHPMOLC,BHP Clinic Molepolole,,Y,O,Remote
XBORAKC,Borakalalo Clinic,05-3-02,Y,O,Remote
XBORIBC,Boribamo Clinic,05-3-03,Y,O,Remote
XKGOSIC,Kgosing Clinic,05-3-05,Y,O,Remote
XLENTC,Lentsweletau Clinic,05-3-07,Y,O,Remote
XLEPHEC,Lephephe Clinic,05-3-08,Y,O,Remote
XMOLCOC,Molepolole Council Cl,05-3-13,Y,O,Remote
XLAZANC,Lazane Kaplan Clinic,06-3-14,Y,O,Remote
XMOLCOEC,MolepololeCollege of Education,,Y,O,Remote
XMOLEPC,Molepolole Prison Cl,05-3-17,Y,O,Remote
XPHUTHC,Phuthadikobo Clinic,05-3-18,Y,O,Remote
XSOJWEC,Sojwe Clinic,05-3-19,Y,O,Remote
XIKAGOC,Ikago Clinic,05-3-21,Y,O,Remote
XBORAKNC,Borakalalo New Clinic,05-3-23,Y,O,Remote
XMMOKOC,Mmokolodi Clinic,05-3-24,Y,O,Remote
XLOOLHP,Loologane Clinic,05-3-25,Y,O,Remote
XNTSWEC,Ntsweletau Clinic,05-3-,Y,O,Remote
XBOSWEC,Boswelakoko Clinic,05-3-,Y,O,Remote
XBOATLHP,Boatlaname Health Post,05-4-01,Y,O,Remote
XGAKUTHP,Gakutlo Health Post,05-4-03,Y,O,Remote
XGAMODHP,Gamodubu Health Post,05-4-04,Y,O,Remote
XHATSHP,Hatsalatladi H Post,05-4-05,Y,O,Remote
XKGOPEHP,Kgope Health Post,05-4-06,Y,O,Remote
XLESILHP,Lesilakgokong H Post,5-4-09,Y,O,Remote
XMAHETHP,Mahetwe Health Post,05-4-10,Y,O,Remote
XMEDIEHP,Medie Health Post,05-4-11,Y,O,Remote
XSHADHP,Shadisshadi H Post,05-4-14,Y,O,Remote
XGABAHP,Gabane Health Post,05-4-15,Y,O,Remote
XMOGONOHP,Mogonono Health Post,05-4-16,Y,O,Remote
XDITSHHP,Ditshukudu Health Post,05-4-17,Y,O,Remote
XKWENHP,Kweneng Health Post,05-4-18,Y,O,Remote
XLEKGWHP,Lekgwapeng Health Post,05-4-19,Y,O,Remote
XMAGOKHP,Magokotswane H Post,05-4-20,Y,O,Remote
XMMANHP,Mmanoko Health Post,05-4-21,Y,O,Remote
XMMATHP,Mmatseta Health Post,05-4-22,Y,O,Remote
XTLOOWHP,Tloowaneng H Post,05-4-23,Y,O,Remote
XTHEBEH,Thebephatswa Hospital,20-2-01,Y,O,Remote
XLETHCL,Letlhakeng Clinic,20-3-01,Y,O,Remote
XMOTOKWC,Motokwe Clinic,20-3-02,Y,O,Remote
XNGWAREC,Ngware Clinic,20-3-03,Y,O,Remote
XSALAC,Salajwe Clinic,20-3-04,Y,O,Remote
XTAKATOKC,Takatokwane Clinic,20-3-05,Y,O,Remote
XMOSHAWC,Moshaweng Clinic,20-3-06,Y,O,Remote
XKHUDC,Khudumelapye Clinic,20-3-07,Y,O,Remote
XBOTLHAPC,Botlhapatlou Clinic,20-3-08,Y,O,Remote
XMALWELHP,Malwelwe Health Post,20-4-07,Y,O,Remote
XKHEKHP,Khekhenye Health Post,20-4-01,Y,O,Remote
XDITSC,Ditshegwane Health Post,20-4-2,Y,O,Remote
XDUTLWHP,Dutlwe Health Post,20-4-03,Y,O,Remote
XDIPHUHP,Diphuduhudu Health Post,20-4-4,Y,O,Remote
XKOTOHP,Kotolaname Health Post,20-4-05,Y,O,Remote
XMABOAHP,Maboane Health Post,20-4-06,Y,O,Remote
XMONWHP,Monwane Health Post,20-4-09,Y,O,Remote
XKAUDHP,Kaudwane Health Post,20-4-10,Y,O,Remote
XSESUHP,Sesung Health Post,20-4-11,Y,O,Remote
XTSETSHP,Tsetseng Health Post,20-4-12,Y,O,Remote
XSHORHP,Sorilatholo H Post,20-4-13,Y,O,Remote
XTSHWAHP,Tshwaane Health Post,20-4-14,Y,O,Remote
ZCGABON,Bontleng Clinic,GA,Y,O,Local
ZCGABRT,Broadhurst Traditional Cl,GA,Y,O,Local
ZCGAPMI,Princess Marina Hosp IDCC,GA,Y,O,Local
ZCFRARW,Area W Clinic,FR,Y,O,Local
ZCFRBOT,Botswelelo Clinic,FR,Y,O,Local
XBOTSWC,Botswelelo Clinic,16-3-06,Y,O,Remote
ZCFRGEE,Gerald Estate Clinic,FR,Y,O,Local
XNTSWC,Ntswe Clinic,16-3-,Y,O,Remote
ZCFRJUB,Jubilee Clinic,16-3-10,Y,O,Local
XJUBIC,Jubilee Clinic,16-3-10,Y,O,Remote
ZCFRNYI,Nyangabwe Hospital IDCC,FR,Y,O,Local
ZCNGMAC,Maun Council Clinic,MA,Y,O,Local
ZCNGMAI,Maun General Hospital IDCC,MA,Y,O,Local
ZCSPKAS,Kadimo Samson Clinic,SE,Y,O,Local
ZCSPNEW,Newtown Clinic,SE,Y,O,Local
ZCSPNUT,Nutrition Clinic,SE,Y,O,Local
ZCSPSER,Serowe Clinic,SE,Y,O,Local
ZCSPSEI,Sekgoma Hospital IDCC,SE,Y,O,Local
XSEKGOH,Sekgoma Memorial Hospital,3-1,Y,O,Remote
ASPC,Serowe,,N,O,Local
ATANTNW,AT AnteNatal and Delivery ward,,N,I,Local
ATCDEN,AT Dental Dept,,Y,O,Local
ATCDIA,AT Diabetic Clinic,,Y,O,Local
ATCDIE,AT Dietetics Clinic,,Y,O,Local
ATCEYE,AT Eye Clinic,,Y,O,Local
ATCGYN,AT Gynaecology Clinic,,Y,O,Local
ATCHYP,AT Hypertensive Clinic,,Y,O,Local
ATCOPD,AT OUTPATIENT DEP CLINIC,,Y,O,Local
ATCPEAD,AT Paediatric Clinic,,Y,O,Local
ATCPHY,AT Physiotherapy,,Y,O,Local
ATCPHYS,AT Physician Clinic,,Y,O,Local
ATCPSY,AT Psychiatric Clinic,,Y,O,Local
ATCRAD,AT Radiology Dept,,Y,O,Local
ATCSCW,AT Social Workers,,Y,O,Local
ATCSRH,AT Sexual Reproductive Health,,Y,O,Local
ATCSTA,AT Staff Clinic,,Y,O,Local
ATCSUR,AT General Surgery Clinic,,Y,O,Local
ATCTB,AT TB Clinic,,Y,O,Local
ATCYOU,AT Youth Friendly Clinic,,Y,O,Local
ATDHIS,Athlone DHIS,,Y,O,Local
ATDLAB,AT Laboratory,,Y,O,Local
ATDOPD,AT Outpatient Department,,Y,O,Local
ATDPHA,AT Pharmacy,,Y,O,Local
ATFGENW,AT Female General Ward,,Y,I,Local
ATFMEDW,AT Female Medical Ward,,N,I,Local
ATFTBW,AT Female TB Ward,,N,I,Local
ATMATH,AT Major Theatre,,Y,O,Local
ATMATWD,AT Maternity Ward,,Y,I,Local
ATMAVPR,MAVAIVAI CLINIC,,Y,O,Local
ATMGENW,AT Male General Ward,,Y,I,Local
ATMITH,AT Minor Theatre,,Y,O,Local
ATMMEDW,AT Male Medical Ward,,N,I,Local
ATMTBW,AT Male TB Ward,,N,I,Local
ATNURW,AT Nursery Ward,,N,I,Local
ATONCOLOGY,AT Oncology Ward,,Y,I,Local
ATPAEDW,AT Paediatric Ward,,Y,I,Local
ATPECIDCC,AT Peleng East Clinic IDCC,,Y,O,Local
ATPECSRH,AT Peleng East Clinic SRH,,Y,O,Local
ATPECTB,AT Peleng East TB Clinic,,Y,O,Local
ATPOSTW,AT Post Natal Ward,,N,I,Local
ATREVENUE,AT Athlone Revenue Office,,Y,O,Local
ATSCBU,AT Special Care Baby Unit,,N,I,Local
ATTBWD,AT TB Ward,,Y,I,Local
ATTHCIDCC,THEMA CLINIC,,Y,O,Local
ATWHCOPD,AT Woodhall Clinic OPD,,Y,O,Local
ATWHCSRH,AT Woodhall SRH,,Y,O,Local
ATWHIDCC,AT WOODHALL IDCC,,Y,O,Local
BLANTNW,BL Ante Natal Ward,,Y,I,Local
BLCAUD,BL Audiology Clinic,,Y,O,Local
BLCCWC,BL Child Welfare Care Clinic,,Y,O,Local
BLCDEN,BL Dental Clinic,,Y,O,Local
BLCDIE,BL Dietetics Clinic,,Y,O,Local
BLCENT,BL ENT Clinic,,Y,O,Local
BLCEYE,BL Eye Clinic,,Y,O,Local
BLCFRA,BL Fracture Clinic,,Y,O,Local
BLCGYN,BL Gynaecology Clinic,,Y,O,Local
BLCMED,BL Diabetic Clinic,,Y,O,Local
BLCPAE,BL Paediatric Clinic,,Y,O,Local
BLCPAS,BL Pastoral Care Dept,,Y,O,Local
BLCPHY,BL Physiotherapy Clinic,,Y,O,Local
BLCPSY,BL Psychiatric Clinic,,Y,O,Local
BLCPSYC,BL Psychology Clinic,,Y,O,Local
BLCSPC,BL Speech Therapy Clinic,,Y,O,Local
BLCSRH,BL Sexual Reproductive Health,,Y,O,Local
BLCSROM,BL Caesarian Room,,Y,I,Local
BLCSUR,BL Surgical Clinic,,Y,O,Local
BLCTB,BL Tubercolosis Clinic,,Y,O,Local
BLCYOU,BL Youth Friendly Services Cli,,Y,O,Local
BLDHIS,Bamalete DHIS,,Y,O,Local
BLDHOS,BL Hospice Department,,Y,O,Local
BLDLAB,BL Laboratory,,Y,O,Local
BLDOPD,BL Outpatient Department,,Y,O,Local
BLDPHA,BL Pharmacy,,Y,O,Local
BLDRAD,BL Radiology Department,,Y,O,Local
BLDSOC,BL Social Work Department,,Y,O,Local
BLFHDWD,BL High Depandancy,,N,I,Local
BLFMEDW,BL Female Ward,,Y,I,Local
BLFPRVT,BL Female Private Ward,,Y,I,Local
BLFTBWD,BL Female TB Ward,,Y,I,Local
BLISOMT,BL Maternity - Isolation Ward,,Y,I,Local
BLKANGA,BL Kangaroo Ward,,Y,I,Local
BLLABOW,BL Labour Ward,,Y,I,Local
BLMATNW,BL Maternity Ward,,Y,I,Local
BLMMEDW,BL Male Ward,,Y,I,Local
BLMPRVT,BL Male Private Ward,,N,I,Local
BLMTBWD,BL Male TB Ward,,Y,I,Local
BLNEONW,BL Neo-Natal Ward,,Y,I,Local
BLPAEDW,BL Paediatrics Ward,,Y,I,Local
BLPAEGR,BL Paediatrics - Greeny,,N,I,Local
BLPAEPI,BL Paediatrics - Pinky,,N,I,Local
BLPAEYL,BL Paediatrics - Yellowy,,N,I,Local
BLPOSTW,BL Post Natal Ward,,Y,I,Local
BLPRVTW,BL Maternity - Private Ward,,Y,I,Local
BLREVENUE,BL Saundry Revenue,,Y,O,Local
BLTBWRD,BL TB Ward,,Y,I,Local
BLTHEA,BL Theatre Department,,Y,O,Local
BPCDEN,BP Dental Clinic,,Y,O,Local
BPCDIA,BP Diabetic Clinic,,Y,O,Local
BPCEYE,BP Eye Clinic,,Y,O,Local
BPCHYP,BP Hypertension Clinic,,Y,O,Local
BPCPSY,BP Psychiatric Clinic,,Y,O,Local
BPCSRH,BP Sexual Reproductive Health,,Y,O,Local
BPCVIA,BP VIA Clinic,,Y,O,Local
BPCYOU,BP Youth Clinic,,Y,O,Local
BPDHIS,Bobonong DHIS,,Y,O,Local
BPDOPD,BP Outpatient Department,,Y,O,Local
BPDRAD,BP Radiology Dept,,Y,O,Local
BPDSOC,BP Social Work Dept,,Y,O,Local
BPFGENW,BP Female Ward,,Y,I,Local
BPHDGEN,BP High Dependency General W,,Y,I,Local
BPHIGHD,BP High Dependency - Maternity,,Y,I,Local
BPLAB,BP Laboratory,,Y,I,Local
BPLABOW,BP Delivery Ward,,Y,I,Local
BPMATH,BP Main Theatre,,Y,O,Local
BPMGENW,BP Male Ward,,Y,I,Local
BPMITH,BP Minor Theatre,,Y,O,Local
BPPAEDW,BP Paediatric Ward,,Y,I,Local
BPPSYCH,BP Psychiatric Ward,,Y,I,Local
BPTBWRD,BP TB Ward,,Y,I,Local
CFRARW,Area W Clinic,,Y,O,Local
CFRBOT,Botswelelo Clinic,,Y,O,Local
CFRGEE,Gerald Estate Clinic,,Y,O,Local
CFRJUB,Jubilee Clinic,,Y,O,Local
CFRNYI,Nyangabgwe Hospital IDCC,,Y,O,Local
CGABON,Bontleng Clinic,,Y,O,Local
CGABRT,Broadhurst Traditional Clinic,,Y,O,Local
CGAPMI,Princess Marina Hosp IDCC,,Y,O,Local
CGGNKOYA,GGC Nkoyaphiri Clinic IDCC,,N,O,Local
CGGTLOKN,GGC Tlokweng Main Clinic IDCC,,N,O,Local
CGHGPI,Gantsi Primary Hospital IDCC,,Y,O,Local
CHCCHA,Charleshill Clinic,,Y,O,Local
CKESLI,Scottish Livingstone IDCC,,Y,O,Local
CMHMHI,Mahalapye Hospital IDCC,,Y,O,Local
CNGBOS,Boseja Clinic,,Y,O,Local
CNGBOY,Boyei Clinic,,Y,O,Local
CNGMAC,Maun Council Clinic,,Y,O,Local
CNGMAI,Maun General Hospital IDCC,,Y,O,Local
CNGSED,Sedie Clinic,,Y,O,Local
CSOKSI,Kanye Adventist Hospital IDCC,,Y,O,Local
CSONEW,Newton Clinic,SER,N,O,Local
CSPKAD,Kadimo Samason Clinic,SE,N,O,Local
CSPKAS,Kadimo Samson Clinic,,Y,O,Local
CSPMOD,Modikwane Clinic,,Y,O,Local
CSPNEW,Newtown Clinic,,Y,O,Local
CSPNUT,Nutrition Clinic,,Y,O,Local
